caso_hashtag,'[Autor: Carlos Medina]', '[Ayuda: Recibe fuente_unico, comentarios y la funcion buscada por parametro. Imprime los datos solicitados por el enunciado.]'
caso_hashtag_todo,'[Autor: Carlos Medina]', '[Ayuda: recibe los archivos, fuente_unico y comentarios. Luego imprime todo lo relativo a la funcion, para cada una de las funciones mostradas por pantalla]'
caso_imprimir_todo,'[Autor: Carlos Medina]', '[Ayuda: Recibe fuente_unico, comentarios y un archivo de salida previamente abiertos. Escribe en el archivo de salida los datos solicitados por el enunciado haciendo uso de la funcion "escribir-salida"]'
caso_pregunta,'[Autor: Carlos Medina]', '[Ayuda: recibe los archivos, fuente_unico y comentarios y la funcion elegida por el usuario, luego imprime el autor, la ayuda, los parametros y el modulo de la funcion buscada]'
caso_pregunta_todo,'[Autor: Carlos Medina]', 'Muestra autor, ayuda, parametros y modulo de la funcion buscada.'
conseguir_funcion,'[Autor: Carlos Medina]', '[Ayuda: Recibe una palabra y devuelve la misma palabra separada por el caracter especial]', '" in palabra:', '")'
enc_extra_descripcion,'[Autor: Carlos Medina]', 'Las ayudas y autores estan definidos entre " [ ] ".'
encontrar_autor,'[Autor: Carlos Medina]', '[Ayuda: recibe una linea de un archivo. La convierte a una lista separada por comas y devuelve el segundo elemento que corresponde al autor de la funcion]'
encontrar_descripcion,'[Autor: Carlos Medina]', '[Ayuda: recibe una linea de un archivo. La convierte a una lista separada por comas y devuelve la ayuda de la funcion]'
encontrar_funcion,'[Autor: Carlos Medina]', '[Ayuda: recibe una linea de un archivo. La convierte a una lista separada por comas y devuelve el primer elemento que corresponde al nombre de la funcion]'
encontrar_modulo,'[Autor: Carlos Medina]', '[Ayuda: recibe una linea de un archivo. La convierte a una lista separada por comas y devuelve el modulo de la funcion]'
encontrar_param,'[Autor: Carlos Medina]', '[Ayuda: recibe una linea de un archivo. La convierte a una lista separada por comas y devuelve el segundo elemento que corresponde a los parametros de la funcion]'
escribir_arch_salida,'[Autor: Carlos Medina]', '[Ayuda: Recibe por parametros los datos a escribir en el archivo de salida. Devuelve un txt ubicado en salidas_modulos con todos los datos.]', 'Se fija de que el string a escribir no supere los 80 caracteres. Si los supera, hace un enter y vuelve a escribir la continuacion en el renglon de abajo.'
lista_de_funciones,'[Autor: Carlos Medina]', '[Ayuda: Recibe una linea de fuente_unico.csv por parametro y devuelve una lista que contiene los nombres de las funciones]'
lista_lineas_de_codigo,'[Autor: Carlos Medina]', '[Ayuda: Recibe una linea de fuente_unico y abierta. Y devuelve una lista con las lineas de CODIGO (Sin espacios en blanco)]', 'La lista[1] va a tener todo lo que le sigue al modulo, osea el codigo.', 'lista_linea_codigo va a ser una lista con todo lo que le sigue al campo de modulo. Osea codigo puro', 'Elimino los espacios en blanco. Creo una lista vacia y meto los campos no vacios.', 'print(lista_sin_vacios)'
main_consulta_funciones,'[Autor: Carlos Medina]', '[Ayuda: Recibe por parametros fuente_unico, camentarios, el archivo de salida, todos previamente abiertos y una lista con las funciones que hay. Pregunta que es lo que es usuario desea realizar y dependiendo de lo que eliga, ejecuta la funcion correspondiente.]', '\' para ver todo lo relativo a la funcion.")', 'todo\' para ver todo lo relativo a TODAS las funciones.")', '"):', 'todo":', '\' para ver todo lo relativo a la funcion.")', 'todo\' para ver todo lo relativo a TODAS las funciones.")'
mostrar_cuadro,'[Autor: Carlos Medina]', '[Ayuda: A esta funcion le llega por parametro una lista con los nombres de todas las funciones', 'e imprime estos nombres con un formato (5 columnas, x filas)]'
